id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
104,2024-03-10 11:22:54.494281,1,2024-03-29 11:06:03.499400,1,0,kuba,t4/files/drpy3_js,t4/files/drpy3_js/kuba.js,True,98,.js,,1,0,0,0,True
105,2024-03-10 11:22:54.499477,1,2024-03-29 11:06:03.502446,1,0,lf_live,t4/files/drpy3_js,t4/files/drpy3_js/lf_live.txt,True,99,.txt,,1,0,0,0,True
106,2024-03-10 11:22:54.504301,1,2024-03-29 11:06:03.505973,1,0,lf_live1,t4/files/drpy3_js,t4/files/drpy3_js/lf_live1.txt,True,100,.txt,,1,0,0,0,True
74,2024-02-19 17:22:19.433622,1,2024-03-29 11:06:03.563769,1,0,蚂蚁影视,t4/files/drpy_js,t4/files/drpy_js/蚂蚁影视.js,False,68,.js,,1,1,0,0,True
1,2024-02-01 14:31:22.022744,1,2024-03-29 11:06:03.025239,1,0,ad,t4/spiders,t4/spiders/ad.m3u8,True,9999,.m3u8,,1,0,0,0,True
119,2024-03-10 11:22:54.566374,1,2024-03-29 11:06:03.544564,1,0,yyets,t4/files/drpy3_js,t4/files/drpy3_js/yyets.js,True,113,.js,,1,0,0,0,True
120,2024-03-10 11:22:54.570699,1,2024-03-29 11:06:03.547962,1,0,yyetsp,t4/files/drpy3_js,t4/files/drpy3_js/yyetsp.js,True,114,.js,,1,0,0,0,True
121,2024-03-10 11:22:54.575765,1,2024-03-29 11:06:03.551664,1,0,养端,t4/files/drpy3_js,t4/files/drpy3_js/养端.js,True,115,.js,,1,0,0,0,True
122,2024-03-10 11:22:54.581446,1,2024-03-29 11:06:03.554926,1,0,吸瓜,t4/files/drpy3_js,t4/files/drpy3_js/吸瓜.js,True,116,.js,,1,0,0,0,True
123,2024-03-10 11:22:54.586467,1,2024-03-29 11:06:03.557750,1,0,朱古力,t4/files/drpy3_js,t4/files/drpy3_js/朱古力.js,True,117,.js,,1,0,0,0,True
124,2024-03-10 11:22:54.592597,1,2024-03-29 11:06:03.560702,1,0,玩偶姐姐,t4/files/drpy3_js,t4/files/drpy3_js/玩偶姐姐.js,True,118,.js,,1,0,0,0,True
2,2024-02-01 14:31:22.043862,1,2024-03-29 11:06:03.131290,1,0,base_java_loader,t4/spiders,t4/spiders/base_java_loader.py,True,0,.py,,1,1,1,0,False
10,2024-02-01 14:31:22.077409,1,2024-03-29 11:06:03.164062,1,0,哔滴影视,t4/spiders,t4/spiders/哔滴影视.py,True,10,.py,{{host}}/files/hipy/jars/bidi.jar,1,1,1,0,True
126,2024-03-29 09:09:20.999119,1,2024-03-29 11:06:03.192912,1,0,freeok,t4/files/drpy_js,t4/files/drpy_js/freeok.js,True,120,.js,,1,1,0,0,True
127,2024-03-29 09:09:21.022291,1,2024-03-29 11:06:03.209747,1,0,厂长资源,t4/files/drpy_js,t4/files/drpy_js/厂长资源.js,True,121,.js,,1,1,0,0,True
128,2024-03-29 09:09:21.048809,1,2024-03-29 11:06:03.235328,1,0,耐看,t4/files/drpy_js,t4/files/drpy_js/耐看.js,True,122,.js,,1,1,0,0,True
53,2024-02-02 15:48:08.743430,1,2024-03-29 11:06:03.256847,1,0,酷云77,t4/files/drpy_js,t4/files/drpy_js/酷云77.js,True,53,.js,,1,1,1,0,True
129,2024-03-29 09:09:21.199069,1,2024-03-29 11:06:03.392866,1,0,CK,t4/files/js_parse_api,t4/files/js_parse_api/CK.js,True,123,.js,,1,0,0,0,True
130,2024-03-29 09:09:21.206493,1,2024-03-29 11:06:03.399057,1,0,夜幕,t4/files/js_parse_api,t4/files/js_parse_api/夜幕.js,True,124,.js,,1,0,0,0,True
131,2024-03-29 09:09:21.210231,1,2024-03-29 11:06:03.402458,1,0,杰森,t4/files/js_parse_api,t4/files/js_parse_api/杰森.js,True,125,.js,,1,0,0,0,True
132,2024-03-29 09:09:21.213665,1,2024-03-29 11:06:03.405387,1,0,盘古,t4/files/js_parse_api,t4/files/js_parse_api/盘古.js,True,126,.js,,1,0,0,0,True
133,2024-03-29 09:09:21.217010,1,2024-03-29 11:06:03.408252,1,0,虾米,t4/files/js_parse_api,t4/files/js_parse_api/虾米.js,True,127,.js,,1,0,0,0,True
134,2024-03-29 09:09:21.220463,1,2024-03-29 11:06:03.412250,1,0,阳途,t4/files/js_parse_api,t4/files/js_parse_api/阳途.js,True,128,.js,,1,0,0,0,True
103,2024-03-10 11:22:54.489716,1,2024-03-29 11:06:03.496474,1,0,kkpans,t4/files/drpy3_js,t4/files/drpy3_js/kkpans.js,True,97,.js,,1,0,0,0,True
107,2024-03-10 11:22:54.508952,1,2024-03-29 11:06:03.508723,1,0,live2mv_data,t4/files/drpy3_js,t4/files/drpy3_js/live2mv_data.json,True,101,.json,,1,0,0,0,True
108,2024-03-10 11:22:54.513700,1,2024-03-29 11:06:03.511346,1,0,meijumi,t4/files/drpy3_js,t4/files/drpy3_js/meijumi.js,True,102,.js,,1,0,0,0,True
109,2024-03-10 11:22:54.518066,1,2024-03-29 11:06:03.514138,1,0,meijumip,t4/files/drpy3_js,t4/files/drpy3_js/meijumip.js,True,103,.js,,1,0,0,0,True
110,2024-03-10 11:22:54.522405,1,2024-03-29 11:06:03.516926,1,0,meow,t4/files/drpy3_js,t4/files/drpy3_js/meow.js,True,104,.js,,1,0,0,0,True
111,2024-03-10 11:22:54.526879,1,2024-03-29 11:06:03.519836,1,0,Missav,t4/files/drpy3_js,t4/files/drpy3_js/Missav.js,True,105,.js,,1,0,0,0,True
112,2024-03-10 11:22:54.531894,1,2024-03-29 11:06:03.523095,1,0,mp4us,t4/files/drpy3_js,t4/files/drpy3_js/mp4us.js,True,106,.js,,1,0,0,0,True
113,2024-03-10 11:22:54.536510,1,2024-03-29 11:06:03.526453,1,0,qimiao,t4/files/drpy3_js,t4/files/drpy3_js/qimiao.js,True,107,.js,,1,0,0,0,True
114,2024-03-10 11:22:54.541045,1,2024-03-29 11:06:03.529278,1,0,rrdyw,t4/files/drpy3_js,t4/files/drpy3_js/rrdyw.js,True,108,.js,,1,0,0,0,True
115,2024-03-10 11:22:54.545975,1,2024-03-29 11:06:03.531935,1,0,template,t4/files/drpy3_js,t4/files/drpy3_js/template.js,True,109,.js,,1,0,0,0,True
116,2024-03-10 11:22:54.551052,1,2024-03-29 11:06:03.534872,1,0,tzfile,t4/files/drpy3_js,t4/files/drpy3_js/tzfile.js,True,110,.js,,1,0,0,0,True
117,2024-03-10 11:22:54.556124,1,2024-03-29 11:06:03.538481,1,0,xb6v,t4/files/drpy3_js,t4/files/drpy3_js/xb6v.js,True,111,.js,,1,0,0,0,True
118,2024-03-10 11:22:54.561607,1,2024-03-29 11:06:03.541470,1,0,xzys,t4/files/drpy3_js,t4/files/drpy3_js/xzys.js,True,112,.js,,1,0,0,0,True
